event_id,team,type,player,congestion_5m,runners_on_shoulder,def_line_height,team_width,team_length,run_speed_ms
05433750-14f3-4f9c-a366-45e3dd2c67a2,England,Carry,Bukayo Saka,0,0,78.19389563049378,39.95312906590515,16.254183740427568,0.0
0547c3b6-7eb0-4618-970b-01b26000d31e,Spain,Carry,Daniel Olmo Carvajal,0,0,69.67397474043719,62.262020369917984,18.037046307859207,0.0
05652eef-b8e1-4fb8-b782-f1e38578113b,Spain,Ball Receipt*,Rodrigo Hernández Cascante,0,1,39.811726888761115,31.171377444663584,26.766434733742322,1.2834477763401912
05a17a25-c979-4d78-932e-96aa51e85e1e,England,Ball Receipt*,Luke Shaw,1,1,37.871253456389574,36.8421683609837,18.585206069921334,3.5638608986355984
05bcd898-5ada-49f6-971e-0c4ff506208c,Spain,Carry,Lamine Yamal Nasraoui Ebana,2,1,93.53156926965328,36.29862601958279,21.773907066426595,0.0
05ccabe3-6e96-4799-9210-f6b59d38e584,Spain,Ball Receipt*,Fabián Ruiz Peña,1,0,58.41568995954903,37.57091301208838,21.32721582952559,0.0
05d3529b-c4ed-4a73-a85c-fc9794f883c1,England,Ball Receipt*,Phil Foden,1,2,67.96684211986006,29.078255037847637,22.423726866699624,0.0
05ed23e5-65a1-4c5d-9a20-a96fa64007df,England,Pass,John Stones,0,0,30.968321134603855,56.317702418990635,24.67239920179346,0.0
0612ab5f-d518-4e56-9302-230b1f4438ef,England,Carry,Jude Bellingham,1,0,28.629864836388176,55.277452195376526,30.835334972956197,0.0
0630017e-b750-4cc3-9948-f5956c017bea,Spain,Pass,Aymeric Laporte,0,1,39.078371268379,63.14674472323839,26.21020794791104,0.0
063ba7c4-6c27-4777-9f68-7eb8651ce338,England,Pressure,Kyle Walker,1,1,41.283012855702864,44.01026113289123,25.12716657437848,0.0
0644cbf5-237e-405b-86e7-d08d31b4d408,Spain,Carry,Unai Simón Mendibil,0,0,25.829727335118232,62.322260711856565,43.50449718337481,0.0
064d60aa-8976-42ad-9186-b26265fe1d1a,Spain,Shot,Daniel Olmo Carvajal,0,0,91.82920557678412,30.914822127861193,15.648287090735096,0.0
06527859-3ab1-44cb-8f5b-ba2879b5f2c1,Spain,Pass,Lamine Yamal Nasraoui Ebana,1,0,70.66810344345717,45.62228366873446,30.667448751545052,0.0
065988d6-243a-41b1-bfd2-0421211accd6,Spain,Ball Recovery,Mikel Oyarzabal Ugarte,0,2,23.971760458800432,37.82325125651611,18.88279106493156,0.0
067299ff-8e76-4411-8d6d-1753217df6e4,England,Dribble,Kyle Walker,1,2,26.345897519572745,35.93314245100172,44.46980931372483,0.0
067ca655-5bf5-4835-8687-e0477ac6c97d,Spain,Pressure,Daniel Olmo Carvajal,1,0,2.13742096687996,36.42228328065986,17.97813874542019,0.0
067dc6c9-5cbb-45a4-a091-ec81b03f28d7,Spain,Carry,Martín Zubimendi Ibáñez,0,1,47.08746009936488,39.256815314893615,29.658089328459713,0.0
06960e85-8515-4da0-9828-81c07cce0d6e,Spain,Shot,Lamine Yamal Nasraoui Ebana,2,0,86.78646581616191,11.873944482423267,1.796284353816668,0.0
06a9d98f-a2af-4795-be9e-06c5b273f179,England,Pressure,Phil Foden,1,2,25.16777929785186,40.89854469624937,24.475617624387823,0.0
06e8aee8-e844-4c0c-a5b5-283b5d03a18d,Spain,Pass,Álvaro Borja Morata Martín,1,0,56.74996418118276,63.62154661181634,22.20578980663513,0.0
06f77478-63b8-470d-bcbe-f38ddba739c3,Spain,Ball Receipt*,Aymeric Laporte,0,0,45.50917926739812,56.899268443493355,29.992780485240036,5.095427585255849
07002501-16d0-4c17-aa93-278f378c2941,Spain,Pass,Martín Zubimendi Ibáñez,0,2,48.382023641408416,62.640173865659804,29.35573356015327,0.0
0705ba94-2865-4129-8b9d-2b4028e0716f,Spain,Pressure,Álvaro Borja Morata Martín,1,2,22.807313773762736,33.40379640062972,25.761665685276583,0.0
07066796-41a5-4f28-b4af-c374182ac246,England,Pressure,Marc Guehi,1,2,25.12682149362175,38.88763832258632,20.703471855999084,0.0
07106446-128a-46fd-911c-0ef4c7685e63,England,Block,Ollie Watkins,2,0,77.29167753983063,24.91447982103079,7.833544383167056,0.0
07201b15-1c53-4fee-84ac-f9826e361053,England,Carry,Kyle Walker,0,0,45.90777850310896,53.931982590696826,25.747235687887482,0.0
07241c09-df5b-4eb5-8386-51fa45ae3a62,England,Pass,Kobbie Mainoo,0,0,72.02581802615754,30.100699903717707,27.234992858169875,0.0
072c9d7a-85d0-4ac5-909c-d20d471089bb,England,Ball Receipt*,Phil Foden,3,0,44.30226177434769,34.9931434387889,27.389195912981553,6.605235136606222
073fb815-ddaa-4bff-a493-dedfa5739ae2,England,Dispossessed,Kyle Walker,2,1,61.49259497442128,37.94445738352449,28.09792598689998,0.0
075a2848-1b37-4142-8192-6dc7e63c3842,England,Foul Won,Bukayo Saka,2,0,58.59924032403841,8.79595571028667,18.525347977562983,0.0
076ccd2f-97cc-42d0-819b-12e9068500d0,Spain,Duel,Álvaro Borja Morata Martín,1,1,16.924744805782716,33.333083844679386,22.760100221542864,0.0
07815a9d-b7e6-4870-a113-85d93c3ccd9d,Spain,Ball Receipt*,Daniel Olmo Carvajal,2,1,71.08591073665174,32.68995174875095,30.7768310953108,4.913987071008862
